country_slug,year,index_value,index_status,source_id,series_id,index_kind,base_period,notes
united-states,1946,19.5,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1947,22.3,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1948,24.1,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1949,23.8,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1950,24.1,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1951,26.0,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1952,26.5,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1953,26.7,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1954,26.9,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1955,26.8,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1956,27.2,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1957,28.1,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1958,28.9,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1959,29.1,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1960,29.6,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1961,29.9,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1962,30.2,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1963,30.6,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1964,31.0,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1965,31.5,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1966,32.4,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1967,33.4,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1968,34.8,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1969,36.7,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1970,38.8,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1971,40.5,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1972,41.8,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1973,44.4,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1974,49.3,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1975,53.8,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1976,56.9,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1977,60.6,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1978,65.2,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1979,72.6,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1980,82.4,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1981,90.9,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1982,96.5,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1983,99.6,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1984,103.9,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1985,107.6,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1986,109.6,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1987,113.6,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1988,118.3,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1989,124.0,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1990,130.7,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1991,136.2,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1992,140.3,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
