country_slug,year,index_value,index_status,source_id,series_id,index_kind,base_period,notes
ireland,2011,81.1,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,2012,82.5,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,2013,82.9,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,2014,83.1,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,2015,82.8,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,2016,82.8,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,2017,83.1,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,2018,83.5,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,2019,84.3,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,2020,84,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,2021,86,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,2022,92.7,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,2023,98.6,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,2024,100.7,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,2025,102.9,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
