country_slug,year,index_value,index_status,source_id,series_id,index_kind,base_period,notes
united-kingdom,1933,15.8,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1934,15.8,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1935,15.9,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1936,16.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1937,16.6,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1938,16.8,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1939,17.3,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1940,20.2,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1941,22.4,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1942,24.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1943,24.8,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1944,25.5,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1945,26.2,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1946,27.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1947,28.9,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1948,31.1,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1949,32.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1950,33.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1951,36.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1952,39.3,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1953,40.5,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1954,41.3,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1955,43.1,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1956,45.3,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1957,46.9,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1958,48.4,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1959,48.6,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1960,49.1,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1961,50.8,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1962,53.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1963,54.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1964,55.8,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1965,58.4,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1966,60.7,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1967,62.3,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1968,65.2,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1969,68.7,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1970,73.1,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1971,80.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1972,85.7,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1973,93.5,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1974,108.5,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1975,134.8,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1976,157.1,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1977,182.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1978,197.1,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1979,223.5,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1980,263.7,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1981,295.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1982,320.4,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1983,335.1,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1984,351.8,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1985,373.2,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1986,385.9,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1987,402.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1988,421.7,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1989,454.5,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1990,497.5,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1991,526.7,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1992,546.4,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1993,555.1,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1994,568.5,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1995,588.2,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1996,602.4,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1997,621.3,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1998,642.6,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1999,652.5,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2000,671.8,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2001,683.7,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2002,695.1,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2003,715.2,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2004,736.5,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2005,757.3,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2006,781.5,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2007,815.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2008,847.5,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2009,843.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2010,881.9,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2011,927.8,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2012,957.6,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2013,986.7,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2014,1010.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2015,1020.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2016,1037.7,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2017,1074.9,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2018,1110.8,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2019,1139.3,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2020,1156.4,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2021,1203.2,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2022,1342.6,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2023,1472.7,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2024,1525.5,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,2025,1588.6,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
